Unnamed: 0,text,category,topic_food,score_food,topic_place,score_place,topic_price,score_price,topic_service,score_service,topic_count,main_topics,primary_topic,primary_score,sentiment_food,sentiment_place,sentiment_price,sentiment_service
0,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,1,0.2236952483654022,0,0.0,0,0.0,0,0.0,1,food,food,0.2236952483654022,Positive,Not Found,Not Found,Not Found
1,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,1,0.5154126286506653,1,0.3784809112548828,0,0.0,0,0.0,2,"food, place",food,0.5154126286506653,Positive,Neutral,Not Found,Not Found
2,"Not only was the food outstanding, but the little 'perks' were great.",food,1,0.330244243144989,0,0.0,0,0.0,0,0.0,1,food,food,0.330244243144989,Positive,Not Found,Not Found,Not Found
3,It is very overpriced and not very tasty.,food,1,0.371381402015686,0,0.0,0,0.0,0,0.0,1,food,food,0.371381402015686,Negative,Not Found,Not Found,Not Found
4,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,food,1,0.4243727028369903,1,0.321226954460144,0,0.0,0,0.0,2,"food, place",food,0.4243727028369903,Neutral,Neutral,Not Found,Not Found
5,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",food,1,0.3081943690776825,0,0.0,0,0.0,0,0.0,1,food,food,0.3081943690776825,Neutral,Not Found,Not Found,Not Found
6,Nevertheless the food itself is pretty good.,food,1,0.4923438727855682,0,0.0,0,0.0,0,0.0,1,food,food,0.4923438727855682,Positive,Not Found,Not Found,Not Found
7,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,1,0.2785573601722717,0,0.0,0,0.0,0,0.0,1,food,food,0.2785573601722717,Negative,Not Found,Not Found,Not Found
8,He has visited Thailand and is quite expert on the cuisine.,food,1,0.4052118062973022,0,0.0,0,0.0,0,0.0,1,food,food,0.4052118062973022,Positive,Not Found,Not Found,Not Found
9,The pizza is the best if you like thin crusted pizza.,food,1,0.2360981851816177,0,0.0,0,0.0,0,0.0,1,food,food,0.2360981851816177,Neutral,Not Found,Not Found,Not Found
10,"All the money went into the interior decoration, none of it went to the chefs.",food,0,0.0,1,0.2473344951868057,0,0.0,0,0.0,1,place,place,0.2473344951868057,Not Found,Positive,Not Found,Not Found
11,"I asked for seltzer with lime, no ice.",food,1,0.2279143035411834,0,0.0,0,0.0,0,0.0,1,food,food,0.2279143035411834,Negative,Not Found,Not Found,Not Found
12,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,1,0.2778670191764831,0,0.0,0,0.0,0,0.0,1,food,food,0.2778670191764831,Neutral,Not Found,Not Found,Not Found
13,My suggestion is to eat family style because you'll want to try the other dishes.,food,1,0.4000524580478668,0,0.0,0,0.0,0,0.0,1,food,food,0.4000524580478668,Neutral,Not Found,Not Found,Not Found
14,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,0,0.0,1,0.3689230382442474,0,0.0,0,0.0,1,place,place,0.3689230382442474,Not Found,Positive,Not Found,Not Found
15,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,1,0.4177960455417633,1,0.3127139806747436,0,0.0,0,0.0,2,"food, place",food,0.4177960455417633,Positive,Neutral,Not Found,Not Found
16,"The quantity is also very good, you will come out satisfied.",food,1,0.3075265288352966,0,0.0,0,0.0,0,0.0,1,food,food,0.3075265288352966,Neutral,Not Found,Not Found,Not Found
17,The fried rice is amazing here.,food,1,0.39111328125,0,0.0,0,0.0,0,0.0,1,food,food,0.39111328125,Neutral,Not Found,Not Found,Not Found
18,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,1,0.3428520560264587,0,0.0,0,0.0,0,0.0,1,food,food,0.3428520560264587,Neutral,Not Found,Not Found,Not Found
19,it's a perfect place to have a amanzing indian food.,food,1,0.421193778514862,1,0.4187080264091491,0,0.0,0,0.0,2,"food, place",food,0.421193778514862,Positive,Positive,Not Found,Not Found
20,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,1,0.1844505369663238,0,0.0,0,0.0,0,0.0,1,food,food,0.1844505369663238,Neutral,Not Found,Not Found,Not Found
21,I just wonder how you can have such a delicious meal for such little money.,food,1,0.3569473028182983,0,0.0,0,0.0,0,0.0,1,food,food,0.3569473028182983,Positive,Not Found,Not Found,Not Found
22,The food was delicious but do not come here on a empty stomach.,food,1,0.3555213809013366,0,0.0,0,0.0,0,0.0,1,food,food,0.3555213809013366,Positive,Not Found,Not Found,Not Found
23,The wine list is excellent.,food,1,0.428257942199707,0,0.0,0,0.0,0,0.0,1,food,food,0.428257942199707,Neutral,Not Found,Not Found,Not Found
24,so garantuan that you can't fit them in a toaster.,food,1,0.1795075833797454,0,0.0,0,0.0,0,0.0,1,food,food,0.1795075833797454,Neutral,Not Found,Not Found,Not Found
25,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,1,0.3293453454971313,0,0.0,0,0.0,0,0.0,1,food,food,0.3293453454971313,Positive,Not Found,Not Found,Not Found
26,"Nice atmosphere, the service was very pleasant and the desert was good.",food,0,0.0,1,0.364341139793396,0,0.0,0,0.0,1,place,place,0.364341139793396,Not Found,Positive,Not Found,Not Found
27,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,1,0.3510219156742096,1,0.5198192000389099,0,0.0,1,0.3483569025993347,3,"food, place, service",place,0.5198192000389099,Positive,Positive,Not Found,Positive
28,Try the lasagnette appetizer.,food,1,0.3650751709938049,0,0.0,0,0.0,0,0.0,1,food,food,0.3650751709938049,Neutral,Not Found,Not Found,Not Found
29,I liked the beer selection!,food,1,0.2474212944507599,0,0.0,0,0.0,0,0.0,1,food,food,0.2474212944507599,Neutral,Not Found,Not Found,Not Found
30,"Great food, good size menu, great service and an unpretensious setting.",food,1,0.54388827085495,1,0.4838024973869324,0,0.0,1,0.3491871953010559,3,"food, place, service",food,0.54388827085495,Positive,Positive,Not Found,Positive
31,Wine list selection is good and wine-by-the-glass was generously filled to the top.,food,1,0.3065398633480072,0,0.0,0,0.0,0,0.0,1,food,food,0.3065398633480072,Neutral,Not Found,Not Found,Not Found
32,"With the great variety on the menu , I eat here often and never get bored .",food,1,0.4906549155712127,1,0.3736941814422607,0,0.0,0,0.0,2,"food, place",food,0.4906549155712127,Positive,Positive,Not Found,Not Found
33,The menu is very limited - i think we counted 4 or 5 entrees.,food,1,0.3525080680847168,1,0.3213140070438385,0,0.0,0,0.0,2,"food, place",food,0.3525080680847168,Negative,Negative,Not Found,Not Found
34,The menu is limited but almost all of the dishes are excellent.,food,1,0.5450329780578613,1,0.3795349895954132,0,0.0,1,0.3196770846843719,3,"food, place, service",food,0.5450329780578613,Positive,Neutral,Not Found,Positive
35,Not too crazy about their sake martini.,food,0,0.0,1,0.232233852148056,0,0.0,0,0.0,1,place,place,0.232233852148056,Not Found,Neutral,Not Found,Not Found
36,"Great bagels, spreads and a good place to hang out in.",food,1,0.3607238531112671,1,0.3488179743289947,0,0.0,0,0.0,2,"food, place",food,0.3607238531112671,Neutral,Positive,Not Found,Not Found
37,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,1,0.4742264151573181,1,0.5616540908813477,0,0.0,1,0.3179012537002563,3,"food, place, service",place,0.5616540908813477,Positive,Negative,Not Found,Negative
38,We always have a delicious meal and always leave feeling satisfied.,food,1,0.4008728563785553,0,0.0,0,0.0,0,0.0,1,food,food,0.4008728563785553,Positive,Not Found,Not Found,Not Found
39,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",food,1,0.3153984844684601,0,0.0,0,0.0,0,0.0,1,food,food,0.3153984844684601,Neutral,Not Found,Not Found,Not Found
40,"My husbands was perfect, my was well done and dry.",food,1,0.1331509351730346,0,0.0,0,0.0,0,0.0,1,food,food,0.1331509351730346,Neutral,Not Found,Not Found,Not Found
41,The pizza was pretty good and huge.,food,0,0.0,1,0.2715529501438141,0,0.0,0,0.0,1,place,place,0.2715529501438141,Not Found,Neutral,Not Found,Not Found
42,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",food,1,0.3441431522369385,0,0.0,0,0.0,0,0.0,1,food,food,0.3441431522369385,Neutral,Not Found,Not Found,Not Found
43,All my co-workers were amazed at how small the dish was.,food,1,0.2767931222915649,0,0.0,0,0.0,0,0.0,1,food,food,0.2767931222915649,Neutral,Not Found,Not Found,Not Found
44,"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,0,0.0,0,0.0,0,0.0,1,0.295634925365448,1,service,service,0.295634925365448,Not Found,Not Found,Not Found,Positive
45,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,1,0.4049925506114959,0,0.0,0,0.0,0,0.0,1,food,food,0.4049925506114959,Neutral,Not Found,Not Found,Not Found
